pathway,train_roc_auc_score,validation_roc_auc_score,train_gradient_boosting_roc_auc_score,validation_gradient_boosting_roc_auc_score
GO_SULFUR_COMPOUND_METABOLIC_PROCESS,0.882533197,0.506918239,0.941266599,0.466666667
GO_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT1_PROTEIN,0.597957099,0.422641509,0.597957099,0.483018868
GO_REGULATION_OF_CELL_CYCLE_CHECKPOINT,0.646578141,0.583018868,0.653115424,0.582389937
GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING,0.596833504,0.525786164,0.597139939,0.53081761
GO_POSITIVE_REGULATION_OF_DNA_REPLICATION,0.795097038,0.551572327,0.845556691,0.53836478
GO_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS,0.880490296,0.522012579,0.921041879,0.342138365
GO_POSITIVE_REGULATION_OF_REPRODUCTIVE_PROCESS,0.791113381,0.535849057,0.808784474,0.572327044
GO_POSITIVE_REGULATION_OF_METANEPHROS_DEVELOPMENT,0.64453524,0.424528302,0.626557712,0.427044025
GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS,0.689989785,0.497484277,0.675076609,0.55408805
GO_NUCLEOTIDE_PHOSPHORYLATION,0.784371808,0.398742138,0.792236977,0.429559748
GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC,0.738712972,0.671069182,0.750970378,0.608176101
GO_GLUTAMATE_SECRETION,0.783554648,0.623899371,0.806945863,0.53836478
GO_REGULATION_OF_MRNA_METABOLIC_PROCESS,0.824208376,0.527044025,0.852706844,0.503144654
GO_POSITIVE_REGULATION_OF_PROTEIN_BINDING,0.807048008,0.6,0.854749745,0.549056604
GO_REGULATION_OF_NFAT_PROTEIN_IMPORT_INTO_NUCLEUS,0.66578141,0.549685535,0.670888662,0.561006289
GO_REGULATION_OF_VASCULOGENESIS,0.63360572,0.460377358,0.640143003,0.455345912
GO_LENS_FIBER_CELL_DIFFERENTIATION,0.697548519,0.601257862,0.711644535,0.563522013
GO_SENSORY_PERCEPTION,0.894688458,0.606918239,0.980796731,0.544654088
GO_HEPATICOBILIARY_SYSTEM_DEVELOPMENT,0.861695608,0.699371069,0.918181818,0.755345912
GO_FATTY_ACID_CATABOLIC_PROCESS,0.77691522,0.604402516,0.8113381,0.6
GO_REGULATION_OF_VESICLE_FUSION,0.800306435,0.572327044,0.818488253,0.546540881
GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_I_BIOGENESIS,0.640755873,0.523899371,0.641573034,0.471069182
GO_REGULATION_OF_LIPID_STORAGE,0.804494382,0.536477987,0.841675179,0.432704403
GO_CARBOHYDRATE_TRANSPORT,0.85505618,0.521383648,0.863534219,0.361006289
GO_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS,0.86680286,0.691823899,0.926251277,0.569811321
GO_EMBRYONIC_HEMOPOIESIS,0.690091931,0.503144654,0.701430031,0.377987421
GO_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING,0.920837589,0.622641509,0.970786517,0.659119497
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II,0.820020429,0.668553459,0.836465781,0.639622642
GO_RESPONSE_TO_IONIZING_RADIATION,0.852604699,0.430188679,0.882124617,0.509433962
GO_PROTEIN_EXPORT_FROM_NUCLEUS,0.653524004,0.550943396,0.662104188,0.566037736
GO_EPITHELIUM_DEVELOPMENT,0.905924413,0.642767296,0.986516854,0.614465409
GO_POSITIVE_REGULATION_OF_SEQUESTERING_OF_CALCIUM_ION,0.647803882,0.54591195,0.648416752,0.543396226
GO_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS,0.639734423,0.5,0.639938713,0.489937107
GO_CELL_MIGRATION_INVOLVED_IN_HEART_DEVELOPMENT,0.646884576,0.579874214,0.654034729,0.577358491
GO_PROTEIN_LOCALIZATION_TO_CYTOSKELETON,0.713483146,0.520754717,0.72308478,0.51572327
GO_NUCLEAR_ENVELOPE_REASSEMBLY,0.56618999,0.544025157,0.56639428,0.546540881
GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR,0.736261491,0.432075472,0.741777324,0.397484277
GO_REGULATION_OF_AUTOPHAGY,0.839019408,0.68490566,0.909090909,0.66918239
GO_PHOSPHOLIPID_METABOLIC_PROCESS,0.886210419,0.654716981,0.946067416,0.614465409
GO_AMMONIUM_ION_METABOLIC_PROCESS,0.819713994,0.572327044,0.916956078,0.57672956
GO_REGULATION_OF_INTERLEUKIN_4_PRODUCTION,0.662308478,0.649685535,0.675587334,0.581761006
GO_NCRNA_CATABOLIC_PROCESS,0.690704801,0.470440252,0.681511747,0.500628931
GO_REGULATION_OF_FAT_CELL_DIFFERENTIATION,0.801634321,0.555345912,0.854443309,0.48427673
GO_GLUTAMINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS,0.697752809,0.686792453,0.712870276,0.675471698
GO_REGULATION_OF_PROTEIN_ACTIVATION_CASCADE,0.79918284,0.555974843,0.811848825,0.440251572
GO_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY,0.590398366,0.457232704,0.590602656,0.472327044
GO_REGULATION_OF_RNA_STABILITY,0.785903984,0.486163522,0.781511747,0.495597484
GO_BUNDLE_OF_HIS_CELL_TO_PURKINJE_MYOCYTE_COMMUNICATION,0.764964249,0.597484277,0.7,0.611320755
GO_REGULATION_OF_CELL_MATURATION,0.674259448,0.494339623,0.666087845,0.455345912
GO_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT,0.898672114,0.641509434,0.956690501,0.622012579
GO_MAMMARY_GLAND_MORPHOGENESIS,0.747906027,0.664779874,0.795505618,0.681761006
GO_CELLULAR_PROTEIN_COMPLEX_DISASSEMBLY,0.775995914,0.620125786,0.790806946,0.573584906
GO_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE,0.647803882,0.489308176,0.646373851,0.503144654
GO_URETER_DEVELOPMENT,0.615321757,0.521383648,0.615321757,0.517610063
GO_BODY_MORPHOGENESIS,0.754341164,0.428301887,0.786618999,0.439622642
GO_SOMATIC_STEM_CELL_POPULATION_MAINTENANCE,0.828396323,0.497484277,0.858426966,0.532704403
GO_CYTOPLASMIC_MICROTUBULE_ORGANIZATION,0.696118488,0.62327044,0.697752809,0.64591195
GO_POSITIVE_REGULATION_OF_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,0.590500511,0.549685535,0.597650664,0.506918239
GO_PROTEIN_ACTIVATION_CASCADE,0.863227783,0.632704403,0.892032686,0.456603774
GO_POSITIVE_REGULATION_OF_PHOSPHOLIPASE_ACTIVITY,0.825434116,0.542138365,0.813993871,0.572327044
GO_NEGATIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION,0.679060266,0.624528302,0.706639428,0.547169811
GO_REGULATION_OF_COLLATERAL_SPROUTING,0.658835546,0.562264151,0.649642492,0.464150943
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_MONOPOLAR_CELL_POLARITY,0.619816139,0.630188679,0.62185904,0.644025157
GO_NEURON_RECOGNITION,0.874157303,0.61572327,0.882022472,0.502515723
GO_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS,0.795505618,0.495597484,0.813789581,0.393710692
GO_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION,0.722778345,0.595597484,0.726149132,0.593710692
GO_RESPONSE_TO_AMMONIUM_ION,0.828600613,0.600628931,0.856996936,0.495597484
GO_REGULATION_OF_INTERLEUKIN_5_PRODUCTION,0.702042901,0.556603774,0.696118488,0.589308176
GO_REGULATION_OF_GLUCOSE_IMPORT,0.778958121,0.506918239,0.754545455,0.53836478
GO_NEGATIVE_REGULATION_OF_PROTEOLYSIS,0.901430031,0.704402516,0.959244127,0.532075472
GO_PINOCYTOSIS,0.656690501,0.472955975,0.648723187,0.489308176
GO_REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS,0.82124617,0.519496855,0.845556691,0.528301887
GO_PHOSPHATIDYLETHANOLAMINE_METABOLIC_PROCESS,0.61113381,0.629559748,0.598467824,0.611320755
GO_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS,0.772012257,0.614465409,0.783452503,0.572327044
GO_LUNG_EPITHELIUM_DEVELOPMENT,0.746271706,0.511949686,0.749744637,0.447798742
GO_METENCEPHALON_DEVELOPMENT,0.846680286,0.702515723,0.871092952,0.686163522
GO_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY,0.624412666,0.486792453,0.606230848,0.486792453
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,0.723493361,0.441509434,0.71154239,0.435220126
GO_CELLULAR_RESPONSE_TO_VIRUS,0.675587334,0.604402516,0.683554648,0.559119497
GO_CYTOPLASMIC_MRNA_PROCESSING_BODY_ASSEMBLY,0.636670072,0.567924528,0.628294178,0.536477987
GO_RESPIRATORY_GASEOUS_EXCHANGE,0.817671093,0.555974843,0.831562819,0.56163522
GO_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL,0.777425945,0.529559748,0.795914198,0.551572327
GO_AMINO_ACID_ACTIVATION,0.716649642,0.417610063,0.735546476,0.435849057
GO_DENDRITIC_CELL_DIFFERENTIATION,0.697650664,0.502515723,0.720531154,0.43836478
GO_NATURAL_KILLER_CELL_DIFFERENTIATION,0.601736466,0.489308176,0.609703779,0.489308176
GO_BONE_TRABECULA_MORPHOGENESIS,0.736261491,0.594339623,0.677221655,0.488679245
GO_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,0.628702758,0.536477987,0.605413687,0.547798742
GO_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,0.805924413,0.653459119,0.847701736,0.601257862
GO_NEGATIVE_REGULATION_OF_NEURON_DIFFERENTIATION,0.886414709,0.66163522,0.947191011,0.688679245
GO_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT,0.789376915,0.582389937,0.79959142,0.488050314
GO_MUSCLE_TISSUE_DEVELOPMENT,0.872522983,0.593081761,0.945965271,0.555345912
GO_NEGATIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION,0.640960163,0.575471698,0.608682329,0.588050314
GO_ACID_SECRETION,0.830030644,0.671069182,0.885291113,0.620754717
GO_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,0.749438202,0.608176101,0.814300306,0.547169811
GO_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION,0.798059244,0.688679245,0.8226762,0.608176101
GO_REGULATION_OF_PROTEIN_BINDING,0.880490296,0.628930818,0.899080695,0.653459119
GO_CARDIAC_SEPTUM_DEVELOPMENT,0.841368744,0.54591195,0.897752809,0.411320755
GO_REGULATION_OF_ICOSANOID_SECRETION,0.727374872,0.647169811,0.72145046,0.637106918
GO_L_ALPHA_AMINO_ACID_TRANSMEMBRANE_TRANSPORT,0.746986721,0.582389937,0.782635342,0.537106918
GO_REGULATION_OF_HISTONE_METHYLATION,0.758631256,0.69245283,0.786823289,0.68427673
GO_POSITIVE_REGULATION_OF_MITOCHONDRIAL_FISSION,0.625331971,0.508805031,0.625331971,0.510062893
GO_ANTIMICROBIAL_HUMORAL_RESPONSE,0.725331971,0.521383648,0.738508682,0.470440252
GO_EPIDERMIS_MORPHOGENESIS,0.74392237,0.655974843,0.769152196,0.586792453
GO_INTERMEDIATE_FILAMENT_BASED_PROCESS,0.772216547,0.549056604,0.805311542,0.387421384
GO_COGNITION,0.88927477,0.641509434,0.948008172,0.626415094
GO_RESPONSE_TO_ZINC_ION,0.735648621,0.544654088,0.760061287,0.467295597
GO_PURINE_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS,0.585801839,0.556603774,0.586618999,0.557861635
GO_DISRUPTION_OF_CELLS_OF_OTHER_ORGANISM,0.679162411,0.61509434,0.694279877,0.617610063
GO_AXIS_SPECIFICATION,0.839325843,0.527672956,0.884780388,0.549056604
GO_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS,0.850459653,0.48427673,0.926762002,0.5
GO_CELL_PART_MORPHOGENESIS,0.926455567,0.563522013,0.985801839,0.542138365
GO_PIGMENT_GRANULE_LOCALIZATION,0.63360572,0.482389937,0.626046987,0.483647799
GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY,0.742288049,0.617610063,0.720939734,0.551572327
GO_RESPONSE_TO_ORGANOPHOSPHORUS,0.868130746,0.589937107,0.931971399,0.544654088
GO_AXO_DENDRITIC_TRANSPORT,0.753115424,0.609433962,0.750153218,0.586163522
GO_SINGLE_ORGANISM_MEMBRANE_FUSION,0.803779367,0.408805031,0.85648621,0.391194969
GO_REGULATION_OF_PROTEIN_UBIQUITINATION_INVOLVED_IN_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,0.792134831,0.39245283,0.804800817,0.488679245
GO_SKELETAL_MUSCLE_TISSUE_REGENERATION,0.703472932,0.688679245,0.736567926,0.710062893
GO_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS,0.71092952,0.596855346,0.704800817,0.516352201
GO_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN,0.800919305,0.396855346,0.78988764,0.38427673
GO_ORGAN_REGENERATION,0.870275792,0.630188679,0.878447395,0.671069182
GO_GLAND_MORPHOGENESIS,0.836363636,0.590566038,0.897752809,0.642138365
GO_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,0.783146067,0.571698113,0.789376915,0.424528302
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN,0.688151175,0.589937107,0.697344229,0.559119497
GO_RIBOSOME_BIOGENESIS,0.823391216,0.578616352,0.899693565,0.620125786
GO_B_CELL_HOMEOSTASIS,0.675178754,0.559748428,0.674157303,0.544025157
GO_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,0.716956078,0.414465409,0.71072523,0.459748428
GO_SINGLE_ORGANISM_BEHAVIOR,0.871501532,0.633962264,0.953932584,0.647798742
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS,0.771297242,0.610062893,0.72145046,0.59245283
GO_POSITIVE_REGULATION_OF_ENDOCYTOSIS,0.82226762,0.618238994,0.887027579,0.590566038
GO_MRNA_SPLICE_SITE_SELECTION,0.595505618,0.555974843,0.613891726,0.572327044
GO_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_STRESS,0.59897855,0.460377358,0.581409602,0.464150943
GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION,0.88947906,0.646540881,0.982839632,0.572955975
