,pathway,train_gradient_boosting_roc_auc_score,validation_gradient_boosting_roc_auc_score
20,GO_FOREBRAIN_NEURON_DEVELOPMENT,0.8244126659856996,0.6754716981132076
21,GO_POSITIVE_REGULATION_OF_PROTEIN_MATURATION,0.7134831460674157,0.5584905660377358
22,GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT,0.830949948927477,0.45345911949685536
23,GO_MITOTIC_CYTOKINESIS,0.7092951991828397,0.5276729559748428
24,GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,0.647191011235955,0.5320754716981132
25,GO_SMAD_PROTEIN_SIGNAL_TRANSDUCTION,0.8210418794688458,0.6050314465408805
26,GO_CYTOPLASMIC_TRANSLATION,0.6113381001021452,0.5628930817610063
27,GO_MEIOTIC_CHROMOSOME_SEGREGATION,0.798876404494382,0.5930817610062893
28,GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT,0.8905005107252298,0.4748427672955975
29,GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,0.7483146067415731,0.5937106918238994
30,GO_RNA_DEPENDENT_DNA_BIOSYNTHETIC_PROCESS,0.7202247191011236,0.4547169811320755
31,GO_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.6900919305413687,0.4949685534591195
32,GO_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,0.8702757916241062,0.5207547169811321
33,GO_DENDRITE_DEVELOPMENT,0.9274770173646578,0.5383647798742138
34,GO_REGULATION_OF_RESPIRATORY_BURST,0.5885597548518897,0.4358490566037736
35,GO_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION,0.6626149131767108,0.5817610062893082
36,GO_MEMORY,0.9079673135852911,0.568553459119497
37,GO_NEURON_DEVELOPMENT,0.9861082737487231,0.5729559748427673
38,GO_REGULATION_OF_GOLGI_ORGANIZATION,0.622267620020429,0.48553459119496856
39,GO_ENDOTHELIAL_CELL_DEVELOPMENT,0.7846782431052093,0.5572327044025157
40,GO_POSITIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION,0.6942798774259449,0.5132075471698113
41,GO_REGULATION_OF_CELL_ACTIVATION,0.9593462717058223,0.6949685534591195
42,GO_MULTICELLULAR_ORGANISM_AGING,0.767926455566905,0.6000000000000001
43,GO_ATP_DEPENDENT_CHROMATIN_REMODELING,0.7814096016343207,0.5817610062893082
44,GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,0.9898876404494381,0.460377358490566
45,GO_ION_TRANSPORT,0.9821246169560776,0.6264150943396226
46,GO_LIPID_MODIFICATION,0.9293156281920327,0.6245283018867924
47,GO_NEGATIVE_REGULATION_OF_KIDNEY_DEVELOPMENT,0.6713993871297241,0.530188679245283
48,GO_REGULATION_OF_HEPATOCYTE_PROLIFERATION,0.6225740551583248,0.5842767295597484
49,GO_ACYLGLYCEROL_HOMEOSTASIS,0.7072522982635343,0.4937106918238994
50,GO_NEGATIVE_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY,0.6643513789581206,0.4710691823899371
51,GO_NEGATIVE_REGULATION_OF_PROTEIN_COMPLEX_ASSEMBLY,0.8492339121552605,0.6559748427672956
52,GO_HEMOGLOBIN_METABOLIC_PROCESS,0.5738508682328908,0.41949685534591197
53,GO_SINGLE_FERTILIZATION,0.9314606741573034,0.3320754716981132
54,GO_LEUKOCYTE_ACTIVATION,0.9623084780388151,0.5295597484276731
55,GO_CHROMOSOME_ORGANIZATION,0.9748723186925434,0.5547169811320755
56,GO_REGULATION_OF_MITOCHONDRIAL_DEPOLARIZATION,0.6758937691521961,0.6421383647798742
57,GO_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY,0.7855975485188968,0.6559748427672956
58,GO_SYNAPTIC_VESICLE_LOCALIZATION,0.8554647599591418,0.5767295597484277
59,GO_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.8542390194075588,0.5308176100628931
60,GO_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,0.8355464759959143,0.3943396226415094
61,GO_ESTABLISHMENT_OF_SPINDLE_ORIENTATION,0.7189989785495403,0.39622641509433965
62,GO_METANEPHRIC_NEPHRON_MORPHOGENESIS,0.7070480081716037,0.5012578616352201
63,GO_GLYCERALDEHYDE_3_PHOSPHATE_METABOLIC_PROCESS,0.5453524004085801,0.5748427672955975
64,GO_RESPONSE_TO_UV_C,0.5905005107252297,0.49433962264150944
65,GO_CARBOHYDRATE_CATABOLIC_PROCESS,0.8644535240040858,0.4767295597484277
66,GO_DENTATE_GYRUS_DEVELOPMENT,0.6598569969356486,0.579874213836478
67,GO_ESTABLISHMENT_OR_MAINTENANCE_OF_TRANSMEMBRANE_ELECTROCHEMICAL_GRADIENT,0.6859039836567927,0.4276729559748428
68,GO_LABYRINTHINE_LAYER_DEVELOPMENT,0.7677221654749744,0.5371069182389937
69,GO_N_TERMINAL_PROTEIN_AMINO_ACID_ACETYLATION,0.6068437180796731,0.5383647798742138
70,GO_NEUROLOGICAL_SYSTEM_PROCESS,0.9775280898876405,0.5949685534591195
71,GO_NEURONAL_STEM_CELL_DIVISION,0.668641470888662,0.4710691823899371
72,GO_CERAMIDE_CATABOLIC_PROCESS,0.5624106230847803,0.5893081761006289
73,GO_EXCRETION,0.8020429009193055,0.45534591194968554
74,GO_DIGESTION,0.8889683350357506,0.5081761006289308
75,GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC,0.7769152196118488,0.549685534591195
76,GO_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION,0.7672114402451481,0.41383647798742135
77,GO_HINDBRAIN_DEVELOPMENT,0.8982635342185905,0.6578616352201258
78,GO_OLIGOSACCHARIDE_METABOLIC_PROCESS,0.8116445352400409,0.5283018867924528
79,GO_NEGATIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT,0.6290091930541368,0.5132075471698113
80,GO_MODULATION_OF_GROWTH_OF_SYMBIONT_INVOLVED_IN_INTERACTION_WITH_HOST,0.627170582226762,0.4861635220125786
81,GO_CHROMOSOME_SEGREGATION,0.9193054136874361,0.5163522012578616
82,GO_NEGATIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY,0.6492339121552603,0.44591194968553455
83,GO_ETHER_METABOLIC_PROCESS,0.5329928498467824,0.5157232704402516
84,GO_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION,0.8986721144024514,0.46037735849056605
85,GO_CYTOKINE_METABOLIC_PROCESS,0.6729315628192033,0.530188679245283
86,GO_ANTEROGRADE_AXONAL_TRANSPORT,0.706026557711951,0.5949685534591195
87,GO_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE,0.7527068437180796,0.5591194968553459
88,GO_STEROID_BIOSYNTHETIC_PROCESS,0.853626149131767,0.5710691823899372
89,GO_ALDITOL_PHOSPHATE_METABOLIC_PROCESS,0.7255362614913177,0.6113207547169811
90,GO_SODIUM_INDEPENDENT_ORGANIC_ANION_TRANSPORT,0.7784473953013279,0.5075471698113208
91,GO_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY,0.7833503575076608,0.5377358490566038
92,GO_REGULATION_OF_INTERFERON_BETA_PRODUCTION,0.790194075587334,0.4389937106918239
93,GO_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION,0.8137895812053114,0.5327044025157233
94,GO_N_GLYCAN_PROCESSING,0.7181818181818183,0.6251572327044025
95,GO_INORGANIC_ION_IMPORT_INTO_CELL,0.66414708886619,0.539622641509434
96,GO_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT,0.6529111338100101,0.5679245283018868
97,GO_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS,0.7872318692543412,0.44654088050314467
98,GO_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY,0.6583248212461694,0.44150943396226416
99,GO_MEMBRANE_DEPOLARIZATION,0.891317671092952,0.5691823899371069
100,GO_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION,0.7694586312563841,0.42767295597484273
101,GO_POSITIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,0.7711950970377937,0.5641509433962264
102,GO_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE,0.645658835546476,0.5974842767295597
103,GO_REGULATION_OF_LYASE_ACTIVITY,0.8587334014300306,0.5836477987421383
104,GO_RESPONSE_TO_NITROGEN_COMPOUND,0.9687436159346271,0.5792452830188679
105,GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,0.8557711950970378,0.5924528301886792
106,GO_REGULATION_OF_DNA_RECOMBINATION,0.7859039836567926,0.45849056603773586
107,GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION,0.8734422880490296,0.7861635220125787
108,GO_RESPONSE_TO_ETHANOL,0.8808988764044944,0.46163522012578617
109,GO_SULFUR_COMPOUND_METABOLIC_PROCESS,0.9412665985699693,0.4666666666666667
110,GO_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT1_PROTEIN,0.5979570990806946,0.4830188679245283
111,GO_REGULATION_OF_CELL_CYCLE_CHECKPOINT,0.6531154239019407,0.5823899371069182
112,GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING,0.5971399387129723,0.5308176100628931
113,GO_POSITIVE_REGULATION_OF_DNA_REPLICATION,0.8455566905005107,0.5383647798742138
114,GO_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS,0.9210418794688457,0.34213836477987425
115,GO_POSITIVE_REGULATION_OF_REPRODUCTIVE_PROCESS,0.8087844739530132,0.5723270440251572
116,GO_POSITIVE_REGULATION_OF_METANEPHROS_DEVELOPMENT,0.6265577119509703,0.4270440251572327
117,GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS,0.6750766087844738,0.5540880503144654
118,GO_NUCLEOTIDE_PHOSPHORYLATION,0.7922369765066394,0.42955974842767297
119,GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC,0.75097037793667,0.6081761006289308
120,GO_GLUTAMATE_SECRETION,0.8069458631256383,0.5383647798742138
121,GO_REGULATION_OF_MRNA_METABOLIC_PROCESS,0.8527068437180796,0.5031446540880503
122,GO_POSITIVE_REGULATION_OF_PROTEIN_BINDING,0.8547497446373852,0.5490566037735849
123,GO_REGULATION_OF_NFAT_PROTEIN_IMPORT_INTO_NUCLEUS,0.6708886618998978,0.5610062893081761
124,GO_REGULATION_OF_VASCULOGENESIS,0.6401430030643513,0.45534591194968554
125,GO_LENS_FIBER_CELL_DIFFERENTIATION,0.7116445352400409,0.5635220125786163
126,GO_SENSORY_PERCEPTION,0.9807967313585292,0.5446540880503145
127,GO_HEPATICOBILIARY_SYSTEM_DEVELOPMENT,0.9181818181818181,0.7553459119496855
128,GO_FATTY_ACID_CATABOLIC_PROCESS,0.811338100102145,0.6
129,GO_REGULATION_OF_VESICLE_FUSION,0.8184882533197139,0.5465408805031446
130,GO_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_I_BIOGENESIS,0.6415730337078651,0.4710691823899371
131,GO_REGULATION_OF_LIPID_STORAGE,0.8416751787538305,0.4327044025157233
132,GO_CARBOHYDRATE_TRANSPORT,0.8635342185903983,0.3610062893081761
133,GO_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS,0.9262512768130746,0.569811320754717
134,GO_EMBRYONIC_HEMOPOIESIS,0.7014300306435138,0.37798742138364777
135,GO_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING,0.9707865168539326,0.659119496855346
136,GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II,0.8364657814096017,0.6396226415094339
137,GO_RESPONSE_TO_IONIZING_RADIATION,0.8821246169560777,0.5094339622641509
138,GO_PROTEIN_EXPORT_FROM_NUCLEUS,0.6621041879468846,0.5660377358490566
139,GO_EPITHELIUM_DEVELOPMENT,0.9865168539325843,0.6144654088050314
140,GO_POSITIVE_REGULATION_OF_SEQUESTERING_OF_CALCIUM_ION,0.6484167517875383,0.5433962264150943
141,GO_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS,0.6399387129724209,0.489937106918239
142,GO_CELL_MIGRATION_INVOLVED_IN_HEART_DEVELOPMENT,0.6540347293156282,0.5773584905660377
143,GO_PROTEIN_LOCALIZATION_TO_CYTOSKELETON,0.7230847803881512,0.5157232704402516
144,GO_NUCLEAR_ENVELOPE_REASSEMBLY,0.5663942798774261,0.5465408805031446
145,GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR,0.7417773237997957,0.39748427672955977
146,GO_REGULATION_OF_AUTOPHAGY,0.9090909090909092,0.6691823899371069
147,GO_PHOSPHOLIPID_METABOLIC_PROCESS,0.9460674157303371,0.6144654088050315
148,GO_AMMONIUM_ION_METABOLIC_PROCESS,0.9169560776302349,0.5767295597484277
149,GO_REGULATION_OF_INTERLEUKIN_4_PRODUCTION,0.6755873340143004,0.5817610062893082
150,GO_NCRNA_CATABOLIC_PROCESS,0.6815117466802859,0.5006289308176101
151,GO_REGULATION_OF_FAT_CELL_DIFFERENTIATION,0.8544433094994892,0.48427672955974843
152,GO_GLUTAMINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS,0.712870275791624,0.6754716981132075
153,GO_REGULATION_OF_PROTEIN_ACTIVATION_CASCADE,0.8118488253319714,0.440251572327044
154,GO_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY,0.5906026557711951,0.47232704402515724
155,GO_REGULATION_OF_RNA_STABILITY,0.781511746680286,0.49559748427672956
156,GO_BUNDLE_OF_HIS_CELL_TO_PURKINJE_MYOCYTE_COMMUNICATION,0.7,0.6113207547169811
157,GO_REGULATION_OF_CELL_MATURATION,0.6660878447395302,0.45534591194968554
158,GO_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT,0.9566905005107254,0.6220125786163522
159,GO_MAMMARY_GLAND_MORPHOGENESIS,0.7955056179775282,0.6817610062893081
160,GO_CELLULAR_PROTEIN_COMPLEX_DISASSEMBLY,0.7908069458631257,0.5735849056603773
161,GO_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE,0.646373850868233,0.5031446540880503
162,GO_URETER_DEVELOPMENT,0.6153217568947906,0.5176100628930818
163,GO_BODY_MORPHOGENESIS,0.7866189989785496,0.439622641509434
164,GO_SOMATIC_STEM_CELL_POPULATION_MAINTENANCE,0.8584269662921348,0.5327044025157233
165,GO_CYTOPLASMIC_MICROTUBULE_ORGANIZATION,0.6977528089887639,0.6459119496855346
166,GO_POSITIVE_REGULATION_OF_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,0.5976506639427986,0.5069182389937107
167,GO_PROTEIN_ACTIVATION_CASCADE,0.8920326864147089,0.4566037735849056
168,GO_POSITIVE_REGULATION_OF_PHOSPHOLIPASE_ACTIVITY,0.8139938712972421,0.5723270440251572
169,GO_NEGATIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION,0.7066394279877426,0.5471698113207547
170,GO_REGULATION_OF_COLLATERAL_SPROUTING,0.6496424923391215,0.4641509433962264
171,GO_ESTABLISHMENT_OR_MAINTENANCE_OF_MONOPOLAR_CELL_POLARITY,0.621859039836568,0.6440251572327044
172,GO_NEURON_RECOGNITION,0.8820224719101124,0.5025157232704403
173,GO_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS,0.8137895812053114,0.3937106918238994
174,GO_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION,0.7261491317671093,0.5937106918238994
175,GO_RESPONSE_TO_AMMONIUM_ION,0.856996935648621,0.4955974842767296
176,GO_REGULATION_OF_INTERLEUKIN_5_PRODUCTION,0.6961184882533197,0.5893081761006289
177,GO_REGULATION_OF_GLUCOSE_IMPORT,0.7545454545454546,0.5383647798742138
178,GO_NEGATIVE_REGULATION_OF_PROTEOLYSIS,0.959244126659857,0.5320754716981132
179,GO_PINOCYTOSIS,0.6487231869254342,0.48930817610062893
180,GO_REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS,0.8455566905005106,0.5283018867924528
181,GO_PHOSPHATIDYLETHANOLAMINE_METABOLIC_PROCESS,0.5984678243105209,0.6113207547169811
182,GO_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS,0.7834525025536262,0.5723270440251573
183,GO_LUNG_EPITHELIUM_DEVELOPMENT,0.7497446373850867,0.4477987421383648
184,GO_METENCEPHALON_DEVELOPMENT,0.8710929519918283,0.6861635220125787
185,GO_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY,0.6062308478038815,0.4867924528301887
186,GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,0.7115423901940757,0.4352201257861635
187,GO_CELLULAR_RESPONSE_TO_VIRUS,0.6835546475995914,0.5591194968553459
188,GO_CYTOPLASMIC_MRNA_PROCESSING_BODY_ASSEMBLY,0.6282941777323798,0.5364779874213836
189,GO_RESPIRATORY_GASEOUS_EXCHANGE,0.8315628192032686,0.5616352201257861
190,GO_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL,0.7959141981613891,0.5515723270440251
191,GO_AMINO_ACID_ACTIVATION,0.7355464759959142,0.43584905660377354
192,GO_DENDRITIC_CELL_DIFFERENTIATION,0.7205311542390194,0.43836477987421385
193,GO_NATURAL_KILLER_CELL_DIFFERENTIATION,0.6097037793667007,0.48930817610062893
194,GO_BONE_TRABECULA_MORPHOGENESIS,0.6772216547497447,0.48867924528301887
195,GO_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,0.6054136874361594,0.5477987421383648
196,GO_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,0.8477017364657815,0.6012578616352201
197,GO_NEGATIVE_REGULATION_OF_NEURON_DIFFERENTIATION,0.947191011235955,0.6886792452830188
198,GO_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT,0.7995914198161389,0.4880503144654088
199,GO_MUSCLE_TISSUE_DEVELOPMENT,0.9459652706843718,0.5553459119496855
200,GO_NEGATIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION,0.6086823289070481,0.5880503144654088
201,GO_ACID_SECRETION,0.8852911133810011,0.620754716981132
202,GO_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,0.814300306435138,0.5471698113207547
203,GO_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION,0.8226762002042901,0.6081761006289308
204,GO_REGULATION_OF_PROTEIN_BINDING,0.8990806945863126,0.6534591194968553
205,GO_CARDIAC_SEPTUM_DEVELOPMENT,0.897752808988764,0.41132075471698115
206,GO_REGULATION_OF_ICOSANOID_SECRETION,0.7214504596527069,0.6371069182389937
207,GO_L_ALPHA_AMINO_ACID_TRANSMEMBRANE_TRANSPORT,0.7826353421859039,0.5371069182389937
208,GO_REGULATION_OF_HISTONE_METHYLATION,0.78682328907048,0.6842767295597485
209,GO_POSITIVE_REGULATION_OF_MITOCHONDRIAL_FISSION,0.6253319713993871,0.510062893081761
210,GO_ANTIMICROBIAL_HUMORAL_RESPONSE,0.738508682328907,0.47044025157232705
211,GO_EPIDERMIS_MORPHOGENESIS,0.7691521961184882,0.5867924528301887
212,GO_INTERMEDIATE_FILAMENT_BASED_PROCESS,0.8053115423901941,0.3874213836477987
213,GO_COGNITION,0.9480081716036772,0.6264150943396226
214,GO_RESPONSE_TO_ZINC_ION,0.7600612870275792,0.46729559748427674
215,GO_PURINE_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS,0.5866189989785496,0.5578616352201258
216,GO_DISRUPTION_OF_CELLS_OF_OTHER_ORGANISM,0.6942798774259448,0.6176100628930818
217,GO_AXIS_SPECIFICATION,0.8847803881511747,0.5490566037735849
218,GO_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS,0.9267620020429009,0.5
219,GO_CELL_PART_MORPHOGENESIS,0.9858018386108274,0.5421383647798743
220,GO_PIGMENT_GRANULE_LOCALIZATION,0.6260469867211439,0.48364779874213837
221,GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY,0.7209397344228803,0.5515723270440251
222,GO_RESPONSE_TO_ORGANOPHOSPHORUS,0.9319713993871297,0.5446540880503145
223,GO_AXO_DENDRITIC_TRANSPORT,0.7501532175689478,0.5861635220125786
224,GO_SINGLE_ORGANISM_MEMBRANE_FUSION,0.8564862104187947,0.39119496855345914
225,GO_REGULATION_OF_PROTEIN_UBIQUITINATION_INVOLVED_IN_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,0.8048008171603677,0.4886792452830188
226,GO_SKELETAL_MUSCLE_TISSUE_REGENERATION,0.7365679264555669,0.710062893081761
227,GO_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS,0.7048008171603677,0.5163522012578616
228,GO_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN,0.7898876404494382,0.38427672955974845
229,GO_ORGAN_REGENERATION,0.8784473953013279,0.6710691823899372
230,GO_GLAND_MORPHOGENESIS,0.8977528089887641,0.6421383647798743
231,GO_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,0.7893769152196118,0.4245283018867924
232,GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN,0.6973442288049031,0.5591194968553459
233,GO_RIBOSOME_BIOGENESIS,0.8996935648621041,0.6201257861635221
234,GO_B_CELL_HOMEOSTASIS,0.6741573033707865,0.5440251572327044
235,GO_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,0.7107252298263533,0.459748427672956
236,GO_SINGLE_ORGANISM_BEHAVIOR,0.9539325842696629,0.6477987421383649
237,GO_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS,0.7214504596527069,0.5924528301886792
238,GO_POSITIVE_REGULATION_OF_ENDOCYTOSIS,0.8870275791624106,0.5905660377358491
239,GO_MRNA_SPLICE_SITE_SELECTION,0.6138917262512769,0.5723270440251572
240,GO_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_STRESS,0.5814096016343206,0.4641509433962264
241,GO_NEGATIVE_REGULATION_OF_GENE_EXPRESSION,0.9828396322778346,0.5729559748427673
242,GO_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,0.727170582226762,0.4849056603773585
243,GO_POSITIVE_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION,0.6596527068437181,0.49748427672955975
244,GO_DENDRITIC_CELL_MIGRATION,0.7563840653728294,0.5163522012578616
245,GO_SENSORY_PERCEPTION_OF_TEMPERATURE_STIMULUS,0.6924412665985699,0.5528301886792453
246,GO_LYSOSOMAL_TRANSPORT,0.8505617977528089,0.5471698113207547
247,GO_CELLULAR_CATABOLIC_PROCESS,0.9759959141981613,0.5830188679245283
248,GO_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,0.80755873340143,0.5251572327044025
249,GO_POSITIVE_REGULATION_OF_MACROPHAGE_ACTIVATION,0.6918283963227784,0.45849056603773586
250,GO_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING,0.8518896833503576,0.5849056603773585
251,GO_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION,0.7865168539325842,0.5421383647798742
252,GO_MUSCLE_ORGAN_DEVELOPMENT,0.9432073544433095,0.5616352201257861
253,GO_POSITIVE_REGULATION_OF_HEMOPOIESIS,0.86414708886619,0.5981132075471698
254,GO_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS,0.634729315628192,0.47295597484276725
255,GO_REGULATION_OF_MAMMARY_GLAND_EPITHELIAL_CELL_PROLIFERATION,0.6429009193054136,0.5811320754716981
256,GO_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY,0.8250255362614912,0.6937106918238994
257,GO_CELLULAR_RESPONSE_TO_EPIDERMAL_GROWTH_FACTOR_STIMULUS,0.7193054136874362,0.6238993710691825
258,GO_LEUKOCYTE_DEGRANULATION,0.6678243105209397,0.4025157232704402
259,GO_MYELOID_CELL_HOMEOSTASIS,0.8287027579162412,0.40817610062893084
260,GO_REGULATION_OF_BLOOD_PRESSURE,0.9144024514811031,0.60062893081761
261,GO_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE,0.7815117466802859,0.5182389937106918
