,GO_pathways,auc_liu_GO_FS_response,auc_riaz_GO_FS_response,auc_liu_GO_FS_resistance,auc_riaz_GO_FS_resistance,auc_liu_GO_FS_response_randomized,auc_riaz_GO_FS_response_randomized,auc_liu_GO_FS_resistance_randomized,auc_riaz_GO_FS_resistance_randomized
10,GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY,0.7648621041879469,0.6088050314465409,0.3321756894790602,0.6540880503144655,0.7199182839632278,0.5761006289308176,0.37456588355464754,0.7226415094339622
11,GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_IMPORT_INTO_NUCLEUS,0.644126659856997,0.5792452830188679,0.4732379979570991,0.5477987421383648,0.6116445352400408,0.5880503144654088,0.4849846782431052,0.590566037735849
12,GO_POTASSIUM_ION_TRANSPORT,0.7683350357507661,0.4968553459119497,0.4016343207354443,0.4327044025157233,0.6635342185903984,0.5761006289308176,0.4164453524004086,0.4509433962264151
13,GO_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.655873340143003,0.5125786163522013,0.4496424923391215,0.5037735849056604,0.655873340143003,0.5125786163522013,0.4642492339121553,0.49245283018867925
14,GO_CARDIAC_MUSCLE_ADAPTATION,0.5229826353421858,0.5144654088050314,0.47191011235955055,0.5144654088050314,0.5229826353421858,0.5144654088050314,0.47191011235955055,0.5144654088050314
15,GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION,0.7204290091930541,0.5786163522012578,0.4052093973442288,0.5484276729559748,0.6570990806945862,0.589937106918239,0.43033707865168536,0.549685534591195
16,GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION,0.6675178753830439,0.5773584905660377,0.4066394279877426,0.5767295597484277,0.6661899897854954,0.5044025157232704,0.4118488253319714,0.5635220125786163
17,GO_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION,0.7181818181818183,0.6566037735849056,0.4391215526046987,0.5364779874213836,0.710214504596527,0.6522012578616352,0.44974463738508685,0.5767295597484277
18,GO_APICAL_PROTEIN_LOCALIZATION,0.6051072522982636,0.5125786163522013,0.4793667007150153,0.4389937106918239,0.6027579162410623,0.5616352201257861,0.4793667007150153,0.4389937106918239
19,GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY,0.6789581205311541,0.530188679245283,0.4018386108273749,0.6188679245283019,0.6290091930541368,0.46729559748427674,0.4043922369765066,0.6232704402515723
20,GO_FOREBRAIN_NEURON_DEVELOPMENT,0.6661899897854954,0.5591194968553459,0.42706843718079673,0.5037735849056604,0.6661899897854955,0.590566037735849,0.42706843718079673,0.5037735849056604
21,GO_POSITIVE_REGULATION_OF_PROTEIN_MATURATION,0.6021450459652707,0.5735849056603773,0.4693564862104188,0.5050314465408805,0.5798774259448417,0.5685534591194968,0.47711950970377937,0.5955974842767295
22,GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT,0.6737487231869255,0.5371069182389937,0.45178753830439217,0.5088050314465409,0.6733401430030644,0.5679245283018868,0.45903983656792646,0.4918238993710692
23,GO_MITOTIC_CYTOKINESIS,0.5974463738508682,0.590566037735849,0.4701736465781409,0.5509433962264151,0.5972420837589377,0.5849056603773585,0.4787538304392237,0.5540880503144654
24,GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,0.5785495403472932,0.5522012578616352,0.4752808988764045,0.5578616352201258,0.5681307456588355,0.5433962264150943,0.4752808988764045,0.5578616352201258
25,GO_SMAD_PROTEIN_SIGNAL_TRANSDUCTION,0.673544433094995,0.5572327044025157,0.47191011235955055,0.49056603773584906,0.6454545454545454,0.5069182389937107,0.47068437180796735,0.5471698113207547
26,GO_CYTOPLASMIC_TRANSLATION,0.5537282941777323,0.5050314465408805,0.4661899897854954,0.5289308176100629,0.5522982635342185,0.5716981132075472,0.4661899897854954,0.5289308176100629
27,GO_MEIOTIC_CHROMOSOME_SEGREGATION,0.6431052093973442,0.580503144654088,0.4432073544433095,0.5981132075471698,0.6283963227783451,0.5924528301886793,0.4398365679264556,0.5767295597484277
28,GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT,0.6881511746680286,0.5610062893081761,0.4154239019407559,0.5364779874213836,0.6593462717058223,0.590566037735849,0.4215526046986721,0.5729559748427673
29,GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,0.626046986721144,0.5685534591194968,0.470582226762002,0.560377358490566,0.6112359550561798,0.6,0.4664964249233913,0.5842767295597484
30,GO_RNA_DEPENDENT_DNA_BIOSYNTHETIC_PROCESS,0.6374872318692544,0.5050314465408805,0.4750766087844739,0.5044025157232704,0.6367722165474974,0.4949685534591195,0.4750766087844739,0.5044025157232704
31,GO_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.6120531154239018,0.5955974842767295,0.4767109295199182,0.5672955974842767,0.6067415730337078,0.6018867924528302,0.4838610827374872,0.5911949685534591
32,GO_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,0.710929519918284,0.549685534591195,0.4300306435137895,0.5012578616352201,0.6902962206332994,0.5578616352201258,0.4300306435137895,0.5767295597484277
33,GO_DENDRITE_DEVELOPMENT,0.7074565883554647,0.6150943396226416,0.4314606741573034,0.5861635220125786,0.6744637385086822,0.679874213836478,0.436976506639428,0.6484276729559748
34,GO_REGULATION_OF_RESPIRATORY_BURST,0.5627170582226761,0.5157232704402516,0.4866189989785495,0.5144654088050314,0.5600612870275791,0.5490566037735849,0.4910112359550562,0.5490566037735849
35,GO_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION,0.6003064351378957,0.5540880503144654,0.47936670071501536,0.4811320754716981,0.6003064351378957,0.5540880503144654,0.5039836567926456,0.5264150943396226
36,GO_MEMORY,0.7077630234933606,0.5867924528301888,0.405311542390194,0.5943396226415094,0.6453524004085802,0.5314465408805031,0.4307456588355465,0.5509433962264151
37,GO_NEURON_DEVELOPMENT,0.7732379979570992,0.5855345911949685,0.32328907048008165,0.5150943396226415,0.7599591419816139,0.6264150943396226,0.34453524004085795,0.4849056603773585
38,GO_REGULATION_OF_GOLGI_ORGANIZATION,0.552093973442288,0.4861635220125786,0.49570990806945864,0.49056603773584906,0.5503575076608785,0.4817610062893082,0.49724208375893775,0.5006289308176101
39,GO_ENDOTHELIAL_CELL_DEVELOPMENT,0.6580183861082737,0.539622641509434,0.449438202247191,0.49559748427672956,0.6178753830439223,0.6,0.44361593462717064,0.48364779874213837
40,GO_POSITIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION,0.6202247191011235,0.5534591194968553,0.4808988764044943,0.5050314465408805,0.6144024514811033,0.5679245283018868,0.4863125638406537,0.5861635220125786
41,GO_REGULATION_OF_CELL_ACTIVATION,0.7560776302349338,0.6150943396226416,0.36077630234933605,0.45660377358490567,0.7167517875383045,0.5559748427672956,0.39999999999999997,0.45031446540880504
42,GO_MULTICELLULAR_ORGANISM_AGING,0.6299284984678243,0.5786163522012578,0.47374872318692546,0.4528301886792453,0.6204290091930541,0.7119496855345911,0.4767109295199182,0.5226415094339623
43,GO_ATP_DEPENDENT_CHROMATIN_REMODELING,0.6447395301327886,0.5817610062893082,0.433197139938713,0.5641509433962264,0.6205311542390194,0.5220125786163522,0.4329928498467825,0.5641509433962264
44,GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,0.7687436159346273,0.5044025157232704,0.3312563840653729,0.5817610062893082,0.7288049029622063,0.539622641509434,0.3772216547497446,0.510062893081761
45,GO_ION_TRANSPORT,0.8259448416751788,0.5610062893081761,0.33493360572012254,0.6345911949685534,0.7708886618998978,0.6446540880503144,0.39856996935648614,0.5283018867924528
46,GO_LIPID_MODIFICATION,0.7474974463738508,0.6144654088050314,0.4040858018386108,0.5937106918238994,0.701532175689479,0.5415094339622641,0.4156281920326864,0.5836477987421383
47,GO_NEGATIVE_REGULATION_OF_KIDNEY_DEVELOPMENT,0.5997957099080694,0.6050314465408805,0.480388151174668,0.5157232704402516,0.5997957099080694,0.6050314465408805,0.49407558733401435,0.5314465408805031
48,GO_REGULATION_OF_HEPATOCYTE_PROLIFERATION,0.593973442288049,0.5981132075471698,0.4943820224719101,0.49056603773584906,0.5971399387129724,0.6069182389937107,0.5026557711950971,0.5238993710691824
49,GO_ACYLGLYCEROL_HOMEOSTASIS,0.6010214504596526,0.5377358490566038,0.47191011235955055,0.5144654088050314,0.5763023493360572,0.6113207547169812,0.4644535240040858,0.5440251572327044
50,GO_NEGATIVE_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY,0.6335035750766088,0.5371069182389937,0.48314606741573035,0.5333333333333333,0.6335035750766088,0.5371069182389937,0.5406537282941777,0.5314465408805031
51,GO_NEGATIVE_REGULATION_OF_PROTEIN_COMPLEX_ASSEMBLY,0.7093973442288048,0.6459119496855346,0.46404494382022465,0.49559748427672956,0.6805924412665985,0.59937106918239,0.46527068437180796,0.5364779874213836
52,GO_HEMOGLOBIN_METABOLIC_PROCESS,0.5338100102145046,0.4949685534591195,0.48314606741573035,0.5264150943396226,0.5280898876404494,0.4660377358490566,0.48314606741573035,0.5264150943396226
53,GO_SINGLE_FERTILIZATION,0.7046986721144024,0.5169811320754717,0.41787538304392235,0.6264150943396226,0.6521961184882533,0.5075471698113208,0.4378958120531154,0.6396226415094339
54,GO_LEUKOCYTE_ACTIVATION,0.7676200204290092,0.5742138364779874,0.34637385086823286,0.6622641509433962,0.7251276813074565,0.5559748427672956,0.38866189989785505,0.6025157232704402
55,GO_CHROMOSOME_ORGANIZATION,0.781103166496425,0.47735849056603774,0.3433094994892748,0.6044025157232704,0.7281920326864147,0.48427672955974843,0.38508682328907046,0.579874213836478
56,GO_REGULATION_OF_MITOCHONDRIAL_DEPOLARIZATION,0.5914198161389173,0.6314465408805031,0.4943820224719101,0.5333333333333333,0.5914198161389173,0.6314465408805031,0.4903983656792646,0.5157232704402516
57,GO_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY,0.6589376915219612,0.5389937106918239,0.4669050051072523,0.5132075471698113,0.6116445352400409,0.5622641509433962,0.47068437180796735,0.4911949685534591
58,GO_SYNAPTIC_VESICLE_LOCALIZATION,0.6810010214504596,0.5773584905660377,0.42359550561797754,0.6069182389937107,0.6580183861082738,0.6415094339622641,0.4229826353421859,0.6113207547169811
59,GO_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS,0.701532175689479,0.5238993710691824,0.4587334014300307,0.5182389937106918,0.6716036772216547,0.5446540880503145,0.4731358529111338,0.5723270440251572
60,GO_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,0.6617977528089887,0.5716981132075472,0.4394279877425945,0.6062893081761006,0.6496424923391216,0.5509433962264151,0.4458631256384066,0.5842767295597484
61,GO_ESTABLISHMENT_OF_SPINDLE_ORIENTATION,0.610214504596527,0.45534591194968554,0.4539325842696629,0.5572327044025157,0.610214504596527,0.45534591194968554,0.47620020429009197,0.5477987421383648
62,GO_METANEPHRIC_NEPHRON_MORPHOGENESIS,0.5856996935648621,0.5509433962264151,0.47752808988764045,0.6,0.5820224719101125,0.5320754716981132,0.48784473953013274,0.559748427672956
63,GO_GLYCERALDEHYDE_3_PHOSPHATE_METABOLIC_PROCESS,0.5320735444330951,0.5666666666666667,0.4844739530132789,0.5238993710691824,0.5320735444330951,0.5666666666666667,0.4844739530132789,0.5238993710691824
64,GO_RESPONSE_TO_UV_C,0.5839632277834524,0.49433962264150944,0.4943820224719101,0.49056603773584906,0.5839632277834524,0.49433962264150944,0.4943820224719101,0.49056603773584906
65,GO_CARBOHYDRATE_CATABOLIC_PROCESS,0.7304392236976507,0.5169811320754717,0.4505617977528089,0.5672955974842767,0.6716036772216547,0.590566037735849,0.4582226762002043,0.5716981132075472
66,GO_DENTATE_GYRUS_DEVELOPMENT,0.595812053115424,0.5823899371069182,0.47191011235955055,0.4811320754716981,0.595812053115424,0.5823899371069182,0.47191011235955055,0.4811320754716981
67,GO_ESTABLISHMENT_OR_MAINTENANCE_OF_TRANSMEMBRANE_ELECTROCHEMICAL_GRADIENT,0.5985699693564861,0.5012578616352201,0.4863125638406537,0.5823899371069182,0.5911133810010215,0.5383647798742138,0.5061287027579163,0.5471698113207547
68,GO_LABYRINTHINE_LAYER_DEVELOPMENT,0.6357507660878446,0.559748427672956,0.4550561797752809,0.5050314465408805,0.6262512768130746,0.569811320754717,0.4837589376915219,0.5289308176100629
69,GO_N_TERMINAL_PROTEIN_AMINO_ACID_ACETYLATION,0.5862104187946885,0.5289308176100629,0.4991828396322778,0.49056603773584906,0.5862104187946885,0.5289308176100629,0.5312563840653728,0.5238993710691824
70,GO_NEUROLOGICAL_SYSTEM_PROCESS,0.806435137895812,0.5584905660377358,0.32298263534218585,0.6050314465408805,0.7563840653728294,0.5974842767295597,0.3582226762002043,0.590566037735849
71,GO_NEURONAL_STEM_CELL_DIVISION,0.5661899897854955,0.49748427672955975,0.46976506639427984,0.4811320754716981,0.557711950970378,0.49748427672955975,0.46976506639427984,0.4811320754716981
72,GO_CERAMIDE_CATABOLIC_PROCESS,0.5487231869254341,0.5735849056603773,0.4943820224719101,0.49056603773584906,0.5487231869254341,0.5735849056603773,0.5013278855975485,0.4716981132075472
73,GO_EXCRETION,0.6365679264555669,0.4981132075471698,0.45301327885597553,0.5188679245283019,0.6328907048008172,0.5773584905660377,0.4508682328907048,0.5031446540880503
74,GO_DIGESTION,0.7160367722165476,0.5672955974842767,0.39101123595505616,0.5679245283018868,0.6906026557711951,0.5666666666666667,0.42676200204290093,0.6270440251572327
75,GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC,0.6188968335035752,0.5660377358490566,0.4665985699693565,0.5238993710691824,0.6060265577119509,0.5509433962264151,0.5085801838610827,0.5371069182389937
76,GO_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION,0.6470888661899897,0.5459119496855346,0.4429009193054137,0.5509433962264151,0.6410623084780387,0.5786163522012578,0.4792645556690501,0.6628930817610064
77,GO_HINDBRAIN_DEVELOPMENT,0.7150153217568948,0.6169811320754717,0.3909090909090909,0.5886792452830188,0.6612870275791625,0.5044025157232704,0.4073544433094995,0.5874213836477987
78,GO_OLIGOSACCHARIDE_METABOLIC_PROCESS,0.6874361593462716,0.4666666666666667,0.45199182839632274,0.5352201257861635,0.6556690500510725,0.5572327044025157,0.46067415730337075,0.49433962264150944
79,GO_NEGATIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT,0.5553626149131766,0.5490566037735849,0.4799795709908069,0.5276729559748428,0.5499489274770174,0.5540880503144654,0.49274770173646576,0.5559748427672956
80,GO_MODULATION_OF_GROWTH_OF_SYMBIONT_INVOLVED_IN_INTERACTION_WITH_HOST,0.567517875383044,0.5050314465408805,0.4844739530132789,0.5245283018867924,0.5667007150153218,0.529559748427673,0.5026557711950971,0.5069182389937107
81,GO_CHROMOSOME_SEGREGATION,0.7332992849846782,0.6081761006289308,0.3767109295199183,0.6176100628930817,0.6739530132788559,0.6616352201257861,0.40878447395301326,0.6012578616352201
82,GO_NEGATIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY,0.5786516853932584,0.5119496855345912,0.4938712972420838,0.5276729559748428,0.5669050051072523,0.5823899371069182,0.5077630234933606,0.540251572327044
83,GO_ETHER_METABOLIC_PROCESS,0.5274770173646578,0.5144654088050314,0.5034729315628191,0.5333333333333333,0.5274770173646578,0.5144654088050314,0.5034729315628191,0.5333333333333333
84,GO_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION,0.6941777323799796,0.5062893081761006,0.41767109295199184,0.5836477987421385,0.6430030643513789,0.5861635220125787,0.41654749744637387,0.6069182389937107
85,GO_CYTOKINE_METABOLIC_PROCESS,0.6256384065372829,0.5364779874213836,0.5013278855975485,0.4811320754716981,0.6256384065372829,0.5364779874213836,0.5673135852911134,0.540251572327044
86,GO_ANTEROGRADE_AXONAL_TRANSPORT,0.6060265577119508,0.6396226415094339,0.4866189989785495,0.5238993710691824,0.590194075587334,0.6389937106918239,0.47507660878447394,0.5182389937106918
87,GO_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE,0.610929519918284,0.5591194968553459,0.4339121552604699,0.6012578616352201,0.5947906026557712,0.6220125786163523,0.457711950970378,0.5893081761006289
88,GO_STEROID_BIOSYNTHETIC_PROCESS,0.662614913176711,0.5289308176100629,0.42522982635342177,0.5213836477987421,0.6116445352400408,0.5459119496855346,0.42522982635342177,0.5213836477987421
89,GO_ALDITOL_PHOSPHATE_METABOLIC_PROCESS,0.6268641470888663,0.559748427672956,0.4823289070480081,0.4981132075471698,0.6246169560776301,0.5924528301886792,0.4858018386108274,0.48930817610062893
90,GO_SODIUM_INDEPENDENT_ORGANIC_ANION_TRANSPORT,0.6363636363636364,0.529559748427673,0.49029622063329936,0.5176100628930818,0.6149131767109295,0.5006289308176101,0.49652706843718075,0.5088050314465409
91,GO_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY,0.6435137895812053,0.6427672955974842,0.4464759959141981,0.5037735849056604,0.5927477017364657,0.5893081761006289,0.46496424923391216,0.4949685534591195
92,GO_REGULATION_OF_INTERFERON_BETA_PRODUCTION,0.6166496424923391,0.5591194968553459,0.4370786516853933,0.610062893081761,0.6034729315628192,0.5459119496855346,0.45199182839632274,0.620754716981132
93,GO_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION,0.6664964249233911,0.5157232704402516,0.42042900919305415,0.5377358490566038,0.5833503575076608,0.5113207547169811,0.4249233912155261,0.5691823899371069
94,GO_N_GLYCAN_PROCESSING,0.622267620020429,0.6522012578616352,0.4642492339121553,0.5125786163522013,0.622267620020429,0.6522012578616352,0.46731358529111333,0.4930817610062893
95,GO_INORGANIC_ION_IMPORT_INTO_CELL,0.5879468845760981,0.5867924528301887,0.4970377936670072,0.5333333333333333,0.5814096016343206,0.5735849056603773,0.502655771195097,0.5666666666666667
96,GO_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT,0.5899897854954036,0.5691823899371069,0.5034729315628191,0.49056603773584906,0.5653728294177732,0.5861635220125786,0.5129724208375894,0.5138364779874214
97,GO_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS,0.645658835546476,0.5786163522012578,0.42257405515832475,0.6012578616352201,0.6351378958120532,0.5371069182389937,0.4248212461695608,0.6339622641509434
98,GO_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY,0.5825331971399387,0.4981132075471698,0.4844739530132789,0.5144654088050314,0.57926455566905,0.48050314465408805,0.4844739530132789,0.5144654088050314
99,GO_MEMBRANE_DEPOLARIZATION,0.698161389172625,0.4867924528301887,0.4654749744637385,0.5547169811320755,0.6843718079673136,0.5823899371069182,0.46557711950970376,0.5635220125786163
100,GO_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION,0.6197139938712972,0.5339622641509434,0.48314606741573035,0.5572327044025157,0.6152196118488252,0.5842767295597484,0.4987742594484168,0.4930817610062893
101,GO_POSITIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY,0.6555669050051073,0.6371069182389937,0.47538304392236974,0.4811320754716981,0.6555669050051073,0.6371069182389937,0.48120531154239016,0.5786163522012578
102,GO_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE,0.5798774259448417,0.5528301886792453,0.4922369765066394,0.4811320754716981,0.572829417773238,0.630188679245283,0.4991828396322778,0.4716981132075472
103,GO_REGULATION_OF_LYASE_ACTIVITY,0.6930541368743616,0.5993710691823899,0.45168539325842694,0.550314465408805,0.679979570990807,0.6333333333333334,0.4497446373850869,0.5320754716981132
104,GO_RESPONSE_TO_NITROGEN_COMPOUND,0.7793667007150153,0.5276729559748428,0.32196118488253317,0.6251572327044025,0.7343207354443311,0.5528301886792453,0.3812053115423902,0.5610062893081761
105,GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,0.7024514811031664,0.6094339622641509,0.427170582226762,0.5893081761006289,0.6847803881511746,0.6094339622641509,0.43064351378958127,0.580503144654088
106,GO_REGULATION_OF_DNA_RECOMBINATION,0.6194075587334014,0.5226415094339623,0.4330949948927476,0.5213836477987421,0.6180796731358529,0.5408805031446541,0.44096016343207356,0.5930817610062893
107,GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION,0.7112359550561798,0.6540880503144655,0.4052093973442288,0.41823899371069184,0.6610827374872319,0.550314465408805,0.41287027579162416,0.42012578616352203
108,GO_RESPONSE_TO_ETHANOL,0.7326864147088865,0.5113207547169811,0.4014300306435138,0.6226415094339622,0.6802860061287028,0.6094339622641509,0.4068437180796732,0.610691823899371
109,GO_SULFUR_COMPOUND_METABOLIC_PROCESS,0.7587334014300308,0.5893081761006289,0.37701736465781405,0.5723270440251572,0.7107252298263534,0.510062893081761,0.4143003064351379,0.6
110,GO_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT1_PROTEIN,0.5423901940755873,0.5471698113207547,0.46292134831460674,0.5911949685534591,0.5423901940755873,0.5471698113207547,0.47660878447395305,0.5918238993710692
111,GO_REGULATION_OF_CELL_CYCLE_CHECKPOINT,0.6361593462717058,0.5761006289308176,0.4922369765066394,0.4811320754716981,0.618896833503575,0.5660377358490566,0.5138917262512769,0.5144654088050314
112,GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING,0.5779366700715015,0.5226415094339623,0.49356486210418793,0.5144654088050314,0.572114402451481,0.5182389937106918,0.5221654749744638,0.5069182389937107
113,GO_POSITIVE_REGULATION_OF_DNA_REPLICATION,0.7079673135852911,0.5534591194968553,0.4195097037793667,0.540251572327044,0.6599591419816139,0.4767295597484277,0.4294177732379979,0.5628930817610063
114,GO_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS,0.7521961184882533,0.5125786163522013,0.40704800817160364,0.5987421383647799,0.7033707865168539,0.529559748427673,0.4077630234933606,0.6320754716981133
115,GO_POSITIVE_REGULATION_OF_REPRODUCTIVE_PROCESS,0.6530132788559756,0.7050314465408805,0.46853932584269664,0.6144654088050314,0.6290091930541368,0.70062893081761,0.47466802860061286,0.7062893081761007
116,GO_POSITIVE_REGULATION_OF_METANEPHROS_DEVELOPMENT,0.5613891726251277,0.5528301886792453,0.46741573033707867,0.6,0.5613891726251277,0.5528301886792453,0.48365679264555667,0.590566037735849
117,GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS,0.597752808988764,0.610062893081761,0.48314606741573035,0.4811320754716981,0.597752808988764,0.610062893081761,0.48314606741573035,0.4811320754716981
118,GO_NUCLEOTIDE_PHOSPHORYLATION,0.6720122574055157,0.5327044025157233,0.43237997957099084,0.6396226415094339,0.6701736465781409,0.5547169811320755,0.43564862104187946,0.6232704402515723
119,GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC,0.6673135852911133,0.6962264150943396,0.4698672114402452,0.5383647798742138,0.6290091930541369,0.6515723270440251,0.4814096016343207,0.5471698113207547
120,GO_GLUTAMATE_SECRETION,0.6586312563840654,0.630817610062893,0.4741573033707865,0.5622641509433962,0.6499489274770174,0.6389937106918239,0.47742594484167516,0.5647798742138365
121,GO_REGULATION_OF_MRNA_METABOLIC_PROCESS,0.6487231869254341,0.5169811320754717,0.4069458631256384,0.489937106918239,0.613585291113381,0.4742138364779874,0.4244126659856997,0.5553459119496855
122,GO_POSITIVE_REGULATION_OF_PROTEIN_BINDING,0.6820224719101122,0.6100628930817611,0.39959141981613894,0.5345911949685535,0.6770173646578141,0.5943396226415095,0.40980592441266595,0.5
123,GO_REGULATION_OF_NFAT_PROTEIN_IMPORT_INTO_NUCLEUS,0.6287027579162411,0.5610062893081761,0.48314606741573035,0.5238993710691824,0.6287027579162411,0.5610062893081761,0.5794688457609806,0.6025157232704402
124,GO_REGULATION_OF_VASCULOGENESIS,0.5746680286006128,0.48742138364779874,0.449438202247191,0.49559748427672956,0.5691521961184882,0.4767295597484277,0.4887640449438202,0.5226415094339623
125,GO_LENS_FIBER_CELL_DIFFERENTIATION,0.643003064351379,0.5836477987421383,0.49009193054136874,0.5245283018867924,0.6410623084780388,0.6163522012578616,0.5026557711950971,0.5157232704402516
126,GO_SENSORY_PERCEPTION,0.7956077630234933,0.6314465408805031,0.3389172625127681,0.6094339622641509,0.7549540347293157,0.5742138364779874,0.37681307456588353,0.5327044025157233
127,GO_HEPATICOBILIARY_SYSTEM_DEVELOPMENT,0.7361593462717059,0.7006289308176101,0.40858018386108275,0.49559748427672956,0.6585291113381,0.6289308176100629,0.43861082737487234,0.4761006289308176
128,GO_FATTY_ACID_CATABOLIC_PROCESS,0.6286006128702758,0.6509433962264151,0.43483146067415734,0.4811320754716981,0.6224719101123596,0.5880503144654088,0.43411644535240046,0.539622641509434
